2017-12-08 15:42:38Z Start

2017-12-08 15:43:00Z CONNECT Socket Error!

2017-12-08 15:43:41Z Command:MultiTask-ImportImages Console\CoDriverConsoleApp.exe-3 tonySceneTestRoad "D:\AU_WRC_NEWRY\newExp" 

2017-12-08 15:43:41Z Command:MultiTask-BuildDerivedData Console\CoDriverConsoleApp.exe-6 

2017-12-08 15:43:41Z Started

2017-12-08 15:43:41Z -Scene Name: tonySceneTestRoad

2017-12-08 15:43:41Z -Source Folder: D:\AU_WRC_NEWRY\newExp

2017-12-08 15:43:41Z UE4 Folder Init.

2017-12-08 15:43:41Z ....Start import images....

2017-12-08 15:43:41Z -Image Folder: D:\AU_WRC_NEWRY\newExp

2017-12-08 15:43:41Z -Dest Folder: D:\RallyTemplate\Content\Scene\tonySceneTestRoad\

2017-12-08 15:43:42Z UE4 Command Started.

2017-12-08 15:43:42Z D:\UnrealEngine-release-4.14.3\Engine\Binaries\Win64\UE4Editor-Cmd.exe-run=ImportAssets -CoDriver -source=D:\AU_WRC_NEWRY\newExp -dest=Images -project=D:\RallyTemplate\Content\Scene\tonySceneTestRoad\ -importsettings=""

2017-12-08 15:43:45Z ..Refresh..12/8/2017 3:43:45 PM

2017-12-08 15:43:48Z ..Refresh..12/8/2017 3:43:48 PM

2017-12-08 15:43:51Z ..Refresh..12/8/2017 3:43:51 PM

2017-12-08 15:43:54Z ..Refresh..12/8/2017 3:43:54 PM

2017-12-08 15:43:57Z ..Refresh..12/8/2017 3:43:57 PM

2017-12-08 15:44:00Z ..Refresh..12/8/2017 3:44:00 PM

2017-12-08 15:44:03Z ..Refresh..12/8/2017 3:44:03 PM

2017-12-08 15:44:06Z ..Refresh..12/8/2017 3:44:06 PM

2017-12-08 15:44:09Z ..Refresh..12/8/2017 3:44:09 PM

2017-12-08 15:44:12Z ..Refresh..12/8/2017 3:44:12 PM

2017-12-08 15:44:15Z ..Refresh..12/8/2017 3:44:15 PM

2017-12-08 15:44:15Z UE4 Process has exited.

2017-12-08 15:44:15Z ....End import images....

2017-12-08 15:44:15Z 

2017-12-08 15:44:15Z Started

2017-12-08 15:44:16Z UE4 Folder Init.

2017-12-08 15:44:16Z UE4 Command Started.

2017-12-08 15:44:16Z D:\UnrealEngine-release-4.14.3\Engine\Binaries\Win64\UE4Editor-Cmd.exeD:\RallyTemplate\RallyTemplate.uproject -run=DerivedDataCache -fill

2017-12-08 15:44:19Z ..Refresh..12/8/2017 3:44:19 PM

2017-12-08 15:44:22Z ..Refresh..12/8/2017 3:44:22 PM

2017-12-08 15:44:25Z ..Refresh..12/8/2017 3:44:25 PM

2017-12-08 15:44:28Z ..Refresh..12/8/2017 3:44:28 PM

2017-12-08 15:44:31Z ..Refresh..12/8/2017 3:44:31 PM

2017-12-08 15:44:34Z ..Refresh..12/8/2017 3:44:34 PM

2017-12-08 15:44:37Z ..Refresh..12/8/2017 3:44:37 PM

2017-12-08 15:44:40Z ..Refresh..12/8/2017 3:44:40 PM

2017-12-08 15:44:43Z ..Refresh..12/8/2017 3:44:43 PM

2017-12-08 15:44:46Z ..Refresh..12/8/2017 3:44:46 PM

2017-12-08 15:44:49Z ..Refresh..12/8/2017 3:44:49 PM

2017-12-08 15:44:52Z ..Refresh..12/8/2017 3:44:52 PM

2017-12-08 15:44:55Z ..Refresh..12/8/2017 3:44:55 PM

2017-12-08 15:44:58Z ..Refresh..12/8/2017 3:44:58 PM

2017-12-08 15:45:01Z ..Refresh..12/8/2017 3:45:01 PM

2017-12-08 15:45:04Z ..Refresh..12/8/2017 3:45:04 PM

2017-12-08 15:45:07Z ..Refresh..12/8/2017 3:45:07 PM

2017-12-08 15:45:10Z ..Refresh..12/8/2017 3:45:10 PM

2017-12-08 15:45:13Z ..Refresh..12/8/2017 3:45:13 PM

2017-12-08 15:45:16Z ..Refresh..12/8/2017 3:45:16 PM

2017-12-08 15:45:19Z ..Refresh..12/8/2017 3:45:19 PM

2017-12-08 15:45:22Z ..Refresh..12/8/2017 3:45:22 PM

2017-12-08 15:45:25Z ..Refresh..12/8/2017 3:45:25 PM

2017-12-08 15:45:28Z ..Refresh..12/8/2017 3:45:28 PM

2017-12-08 15:45:31Z ..Refresh..12/8/2017 3:45:31 PM

2017-12-08 15:45:34Z ..Refresh..12/8/2017 3:45:34 PM

2017-12-08 15:45:37Z ..Refresh..12/8/2017 3:45:37 PM

2017-12-08 15:45:40Z ..Refresh..12/8/2017 3:45:40 PM

2017-12-08 15:45:43Z ..Refresh..12/8/2017 3:45:43 PM

2017-12-08 15:45:46Z ..Refresh..12/8/2017 3:45:46 PM

2017-12-08 15:45:49Z ..Refresh..12/8/2017 3:45:49 PM

2017-12-08 15:45:52Z ..Refresh..12/8/2017 3:45:52 PM

2017-12-08 15:45:55Z ..Refresh..12/8/2017 3:45:55 PM

2017-12-08 15:45:58Z ..Refresh..12/8/2017 3:45:58 PM

2017-12-08 15:46:01Z ..Refresh..12/8/2017 3:46:01 PM

2017-12-08 15:46:04Z ..Refresh..12/8/2017 3:46:04 PM

2017-12-08 15:46:07Z ..Refresh..12/8/2017 3:46:07 PM

2017-12-08 15:46:10Z ..Refresh..12/8/2017 3:46:10 PM

2017-12-08 15:46:13Z ..Refresh..12/8/2017 3:46:13 PM

2017-12-08 15:46:16Z ..Refresh..12/8/2017 3:46:16 PM

2017-12-08 15:46:19Z ..Refresh..12/8/2017 3:46:19 PM

2017-12-08 15:46:22Z ..Refresh..12/8/2017 3:46:22 PM

2017-12-08 15:46:25Z ..Refresh..12/8/2017 3:46:25 PM

2017-12-08 15:46:28Z ..Refresh..12/8/2017 3:46:28 PM

2017-12-08 15:46:31Z ..Refresh..12/8/2017 3:46:31 PM

2017-12-08 15:46:34Z ..Refresh..12/8/2017 3:46:34 PM

2017-12-08 15:46:37Z ..Refresh..12/8/2017 3:46:37 PM

2017-12-08 15:46:40Z ..Refresh..12/8/2017 3:46:40 PM

2017-12-08 15:46:43Z ..Refresh..12/8/2017 3:46:43 PM

2017-12-08 15:46:46Z ..Refresh..12/8/2017 3:46:46 PM

2017-12-08 15:46:49Z ..Refresh..12/8/2017 3:46:49 PM

2017-12-08 15:46:52Z ..Refresh..12/8/2017 3:46:52 PM

2017-12-08 15:46:55Z ..Refresh..12/8/2017 3:46:55 PM

2017-12-08 15:46:58Z ..Refresh..12/8/2017 3:46:58 PM

2017-12-08 15:47:01Z ..Refresh..12/8/2017 3:47:01 PM

2017-12-08 15:47:04Z ..Refresh..12/8/2017 3:47:04 PM

2017-12-08 15:47:07Z ..Refresh..12/8/2017 3:47:07 PM

2017-12-08 15:47:10Z ..Refresh..12/8/2017 3:47:10 PM

2017-12-08 15:47:13Z ..Refresh..12/8/2017 3:47:13 PM

2017-12-08 15:47:16Z ..Refresh..12/8/2017 3:47:16 PM

2017-12-08 15:47:19Z ..Refresh..12/8/2017 3:47:19 PM

2017-12-08 15:47:22Z ..Refresh..12/8/2017 3:47:22 PM

2017-12-08 15:47:25Z ..Refresh..12/8/2017 3:47:25 PM

2017-12-08 15:47:28Z ..Refresh..12/8/2017 3:47:28 PM

2017-12-08 15:47:31Z ..Refresh..12/8/2017 3:47:31 PM

