2017-12-08 13:38:30Z Start

2017-12-08 13:38:52Z CONNECT Socket Error!

2017-12-08 13:39:40Z Command:MultiTask-ImportImages Console\CoDriverConsoleApp.exe-3 TonyNewScene "D:\AU_WRC_NEWRY\Exports" 

2017-12-08 13:39:40Z Command:MultiTask-BuildDerivedData Console\CoDriverConsoleApp.exe-6 

2017-12-08 13:39:42Z Started

2017-12-08 13:39:42Z -Scene Name: TonyNewScene

2017-12-08 13:39:42Z -Source Folder: D:\AU_WRC_NEWRY\Exports

2017-12-08 13:39:42Z UE4 Folder Init.

2017-12-08 13:39:42Z ....Start import images....

2017-12-08 13:39:42Z -Image Folder: D:\AU_WRC_NEWRY\Exports

2017-12-08 13:39:42Z -Dest Folder: D:\RallyTemplate\Content\Scene\TonyNewScene\

2017-12-08 13:39:44Z UE4 Command Started.

2017-12-08 13:39:44Z D:\UnrealEngine-release-4.14.3\Engine\Binaries\Win64\UE4Editor-Cmd.exe-run=ImportAssets -CoDriver -source=D:\AU_WRC_NEWRY\Exports -dest=Images -project=D:\RallyTemplate\Content\Scene\TonyNewScene\ -importsettings=""

2017-12-08 13:39:47Z ..Refresh..12/8/2017 1:39:47 PM

2017-12-08 13:39:50Z ..Refresh..12/8/2017 1:39:50 PM

2017-12-08 13:39:53Z ..Refresh..12/8/2017 1:39:53 PM

2017-12-08 13:39:56Z ..Refresh..12/8/2017 1:39:56 PM

2017-12-08 13:39:59Z ..Refresh..12/8/2017 1:39:59 PM

2017-12-08 13:40:02Z ..Refresh..12/8/2017 1:40:02 PM

2017-12-08 13:40:05Z ..Refresh..12/8/2017 1:40:05 PM

2017-12-08 13:40:08Z ..Refresh..12/8/2017 1:40:08 PM

2017-12-08 13:40:11Z ..Refresh..12/8/2017 1:40:11 PM

2017-12-08 13:40:14Z ..Refresh..12/8/2017 1:40:14 PM

2017-12-08 13:40:17Z ..Refresh..12/8/2017 1:40:17 PM

2017-12-08 13:40:20Z ..Refresh..12/8/2017 1:40:20 PM

2017-12-08 13:40:23Z ..Refresh..12/8/2017 1:40:23 PM

2017-12-08 13:40:26Z ..Refresh..12/8/2017 1:40:26 PM

2017-12-08 13:40:29Z ..Refresh..12/8/2017 1:40:29 PM

2017-12-08 13:40:32Z ..Refresh..12/8/2017 1:40:32 PM

2017-12-08 13:40:35Z ..Refresh..12/8/2017 1:40:35 PM

2017-12-08 13:40:38Z ..Refresh..12/8/2017 1:40:38 PM

2017-12-08 13:40:41Z ..Refresh..12/8/2017 1:40:41 PM

2017-12-08 13:40:44Z ..Refresh..12/8/2017 1:40:44 PM

2017-12-08 13:40:47Z ..Refresh..12/8/2017 1:40:47 PM

2017-12-08 13:40:50Z ..Refresh..12/8/2017 1:40:50 PM

2017-12-08 13:40:53Z ..Refresh..12/8/2017 1:40:53 PM

2017-12-08 13:40:56Z ..Refresh..12/8/2017 1:40:56 PM

2017-12-08 13:40:59Z ..Refresh..12/8/2017 1:40:59 PM

2017-12-08 13:41:02Z ..Refresh..12/8/2017 1:41:02 PM

2017-12-08 13:41:05Z ..Refresh..12/8/2017 1:41:05 PM

2017-12-08 13:41:08Z ..Refresh..12/8/2017 1:41:08 PM

2017-12-08 13:41:11Z ..Refresh..12/8/2017 1:41:11 PM

2017-12-08 13:41:14Z ..Refresh..12/8/2017 1:41:14 PM

2017-12-08 13:41:17Z ..Refresh..12/8/2017 1:41:17 PM

2017-12-08 13:41:20Z ..Refresh..12/8/2017 1:41:20 PM

2017-12-08 13:41:23Z ..Refresh..12/8/2017 1:41:23 PM

2017-12-08 13:41:26Z ..Refresh..12/8/2017 1:41:26 PM

2017-12-08 13:41:29Z ..Refresh..12/8/2017 1:41:29 PM

2017-12-08 13:41:32Z ..Refresh..12/8/2017 1:41:32 PM

2017-12-08 13:41:35Z ..Refresh..12/8/2017 1:41:35 PM

2017-12-08 13:41:38Z ..Refresh..12/8/2017 1:41:38 PM

2017-12-08 13:41:41Z ..Refresh..12/8/2017 1:41:41 PM

2017-12-08 13:41:44Z ..Refresh..12/8/2017 1:41:44 PM

2017-12-08 13:41:47Z ..Refresh..12/8/2017 1:41:47 PM

2017-12-08 13:41:50Z ..Refresh..12/8/2017 1:41:50 PM

2017-12-08 13:41:53Z ..Refresh..12/8/2017 1:41:53 PM

2017-12-08 13:41:56Z ..Refresh..12/8/2017 1:41:56 PM

2017-12-08 13:41:59Z ..Refresh..12/8/2017 1:41:59 PM

2017-12-08 13:42:02Z ..Refresh..12/8/2017 1:42:02 PM

2017-12-08 13:42:05Z ..Refresh..12/8/2017 1:42:05 PM

2017-12-08 13:42:08Z ..Refresh..12/8/2017 1:42:08 PM

2017-12-08 13:42:11Z ..Refresh..12/8/2017 1:42:11 PM

2017-12-08 13:42:14Z ..Refresh..12/8/2017 1:42:14 PM

2017-12-08 13:42:17Z ..Refresh..12/8/2017 1:42:17 PM

2017-12-08 13:42:20Z ..Refresh..12/8/2017 1:42:20 PM

2017-12-08 13:42:23Z ..Refresh..12/8/2017 1:42:23 PM

2017-12-08 13:42:26Z ..Refresh..12/8/2017 1:42:26 PM

2017-12-08 13:42:29Z ..Refresh..12/8/2017 1:42:29 PM

2017-12-08 13:42:32Z ..Refresh..12/8/2017 1:42:32 PM

2017-12-08 13:42:35Z ..Refresh..12/8/2017 1:42:35 PM

2017-12-08 13:42:38Z ..Refresh..12/8/2017 1:42:38 PM

2017-12-08 13:42:41Z ..Refresh..12/8/2017 1:42:41 PM

2017-12-08 13:42:44Z ..Refresh..12/8/2017 1:42:44 PM

2017-12-08 13:42:47Z ..Refresh..12/8/2017 1:42:47 PM

2017-12-08 13:42:50Z ..Refresh..12/8/2017 1:42:50 PM

2017-12-08 13:42:53Z ..Refresh..12/8/2017 1:42:53 PM

2017-12-08 13:42:56Z ..Refresh..12/8/2017 1:42:56 PM

2017-12-08 13:42:59Z ..Refresh..12/8/2017 1:42:59 PM

2017-12-08 13:43:02Z ..Refresh..12/8/2017 1:43:02 PM

2017-12-08 13:43:05Z ..Refresh..12/8/2017 1:43:05 PM

2017-12-08 13:43:08Z ..Refresh..12/8/2017 1:43:08 PM

2017-12-08 13:43:11Z ..Refresh..12/8/2017 1:43:11 PM

2017-12-08 13:43:14Z ..Refresh..12/8/2017 1:43:14 PM

2017-12-08 13:43:17Z ..Refresh..12/8/2017 1:43:17 PM

2017-12-08 13:43:20Z ..Refresh..12/8/2017 1:43:20 PM

2017-12-08 13:43:23Z ..Refresh..12/8/2017 1:43:23 PM

2017-12-08 13:43:26Z ..Refresh..12/8/2017 1:43:26 PM

2017-12-08 13:43:29Z ..Refresh..12/8/2017 1:43:29 PM

2017-12-08 13:43:32Z ..Refresh..12/8/2017 1:43:32 PM

2017-12-08 13:43:35Z ..Refresh..12/8/2017 1:43:35 PM

2017-12-08 13:43:38Z ..Refresh..12/8/2017 1:43:38 PM

2017-12-08 13:43:41Z ..Refresh..12/8/2017 1:43:41 PM

2017-12-08 13:43:44Z ..Refresh..12/8/2017 1:43:44 PM

2017-12-08 13:43:47Z ..Refresh..12/8/2017 1:43:47 PM

2017-12-08 13:43:50Z ..Refresh..12/8/2017 1:43:50 PM

2017-12-08 13:43:53Z ..Refresh..12/8/2017 1:43:53 PM

2017-12-08 13:43:56Z ..Refresh..12/8/2017 1:43:56 PM

2017-12-08 13:43:59Z ..Refresh..12/8/2017 1:43:59 PM

2017-12-08 13:44:02Z ..Refresh..12/8/2017 1:44:02 PM

2017-12-08 13:44:05Z ..Refresh..12/8/2017 1:44:05 PM

2017-12-08 13:44:08Z ..Refresh..12/8/2017 1:44:08 PM

2017-12-08 13:44:11Z ..Refresh..12/8/2017 1:44:11 PM

2017-12-08 13:44:14Z ..Refresh..12/8/2017 1:44:14 PM

2017-12-08 13:44:17Z ..Refresh..12/8/2017 1:44:17 PM

2017-12-08 13:44:20Z ..Refresh..12/8/2017 1:44:20 PM

2017-12-08 13:44:23Z ..Refresh..12/8/2017 1:44:23 PM

2017-12-08 13:44:26Z ..Refresh..12/8/2017 1:44:26 PM

2017-12-08 13:44:29Z ..Refresh..12/8/2017 1:44:29 PM

2017-12-08 13:44:32Z ..Refresh..12/8/2017 1:44:32 PM

2017-12-08 13:44:35Z ..Refresh..12/8/2017 1:44:35 PM

2017-12-08 13:44:38Z ..Refresh..12/8/2017 1:44:38 PM

2017-12-08 13:44:41Z ..Refresh..12/8/2017 1:44:41 PM

2017-12-08 13:44:44Z ..Refresh..12/8/2017 1:44:44 PM

2017-12-08 13:44:47Z ..Refresh..12/8/2017 1:44:47 PM

2017-12-08 13:44:50Z ..Refresh..12/8/2017 1:44:50 PM

2017-12-08 13:44:53Z ..Refresh..12/8/2017 1:44:53 PM

2017-12-08 13:44:56Z ..Refresh..12/8/2017 1:44:56 PM

2017-12-08 13:44:59Z ..Refresh..12/8/2017 1:44:59 PM

2017-12-08 13:45:02Z ..Refresh..12/8/2017 1:45:02 PM

2017-12-08 13:45:05Z ..Refresh..12/8/2017 1:45:05 PM

2017-12-08 13:45:08Z ..Refresh..12/8/2017 1:45:08 PM

2017-12-08 13:45:11Z ..Refresh..12/8/2017 1:45:11 PM

2017-12-08 13:45:14Z ..Refresh..12/8/2017 1:45:14 PM

2017-12-08 13:45:17Z ..Refresh..12/8/2017 1:45:17 PM

2017-12-08 13:45:20Z ..Refresh..12/8/2017 1:45:20 PM

2017-12-08 13:45:23Z ..Refresh..12/8/2017 1:45:23 PM

2017-12-08 13:45:26Z ..Refresh..12/8/2017 1:45:26 PM

2017-12-08 13:45:29Z ..Refresh..12/8/2017 1:45:29 PM

2017-12-08 13:45:32Z ..Refresh..12/8/2017 1:45:32 PM

2017-12-08 13:45:35Z ..Refresh..12/8/2017 1:45:35 PM

2017-12-08 13:45:38Z ..Refresh..12/8/2017 1:45:38 PM

2017-12-08 13:45:41Z ..Refresh..12/8/2017 1:45:41 PM

2017-12-08 13:45:44Z ..Refresh..12/8/2017 1:45:44 PM

2017-12-08 13:45:47Z ..Refresh..12/8/2017 1:45:47 PM

2017-12-08 13:45:50Z ..Refresh..12/8/2017 1:45:50 PM

2017-12-08 13:45:53Z ..Refresh..12/8/2017 1:45:53 PM

2017-12-08 13:45:56Z ..Refresh..12/8/2017 1:45:56 PM

2017-12-08 13:45:59Z ..Refresh..12/8/2017 1:45:59 PM

2017-12-08 13:46:02Z ..Refresh..12/8/2017 1:46:02 PM

2017-12-08 13:46:05Z ..Refresh..12/8/2017 1:46:05 PM

2017-12-08 13:46:08Z ..Refresh..12/8/2017 1:46:08 PM

2017-12-08 13:46:11Z ..Refresh..12/8/2017 1:46:11 PM

2017-12-08 13:46:14Z ..Refresh..12/8/2017 1:46:14 PM

2017-12-08 13:46:17Z ..Refresh..12/8/2017 1:46:17 PM

2017-12-08 13:46:20Z ..Refresh..12/8/2017 1:46:20 PM

2017-12-08 13:46:23Z ..Refresh..12/8/2017 1:46:23 PM

2017-12-08 13:46:26Z ..Refresh..12/8/2017 1:46:26 PM

2017-12-08 13:46:29Z ..Refresh..12/8/2017 1:46:29 PM

2017-12-08 13:46:32Z ..Refresh..12/8/2017 1:46:32 PM

2017-12-08 13:46:35Z ..Refresh..12/8/2017 1:46:35 PM

2017-12-08 13:46:38Z ..Refresh..12/8/2017 1:46:38 PM

2017-12-08 13:46:41Z ..Refresh..12/8/2017 1:46:41 PM

2017-12-08 13:46:44Z ..Refresh..12/8/2017 1:46:44 PM

2017-12-08 13:46:47Z ..Refresh..12/8/2017 1:46:47 PM

2017-12-08 13:46:50Z ..Refresh..12/8/2017 1:46:50 PM

2017-12-08 13:46:53Z ..Refresh..12/8/2017 1:46:53 PM

2017-12-08 13:46:56Z ..Refresh..12/8/2017 1:46:56 PM

2017-12-08 13:46:59Z ..Refresh..12/8/2017 1:46:59 PM

2017-12-08 13:47:02Z ..Refresh..12/8/2017 1:47:02 PM

2017-12-08 13:47:05Z ..Refresh..12/8/2017 1:47:05 PM

2017-12-08 13:47:08Z ..Refresh..12/8/2017 1:47:08 PM

2017-12-08 13:47:11Z ..Refresh..12/8/2017 1:47:11 PM

2017-12-08 13:47:14Z ..Refresh..12/8/2017 1:47:14 PM

2017-12-08 13:47:17Z ..Refresh..12/8/2017 1:47:17 PM

2017-12-08 13:47:20Z ..Refresh..12/8/2017 1:47:20 PM

2017-12-08 13:47:23Z ..Refresh..12/8/2017 1:47:23 PM

2017-12-08 13:47:26Z ..Refresh..12/8/2017 1:47:26 PM

2017-12-08 13:47:29Z ..Refresh..12/8/2017 1:47:29 PM

